transcript_id,who,tissue,ERCC_R,batch
DB_1_F_02_S44_L004,DB,fry,0.807658,db1
DB_1_F_04_S46_L004,DB,fry,0.837004,db1
DB_1_F_06_S48_L004,DB,fry,0.858766,db1
DB_1_F_10_S51_L004,DB,fry,0.814134,db1
DB_1_F_12_S53_L004,DB,fry,0.807823,db1
DB_1_F_14_S55_L004,DB,fry,0.878301,db1
DB_1_L_01_S43_L004,DB,liver,0.753139,db1
DB_1_L_03_S45_L004,DB,liver,0.827846,db1
DB_1_L_05_S47_L004,DB,liver,0.872462,db1
DB_1_L_07_S49_L004,DB,liver,0.86356,db1
DB_1_L_09_S50_L004,DB,liver,0.782584,db1
DB_1_L_11_S52_L004,DB,liver,0.802431,db1
DB_1_L_13_S54_L004,DB,liver,0.874644,db1
DB_1_L_15_S56_L004,DB,liver,0.843426,db1
DB_2_F_02_S58_L004,DB,fry,0.91916,db2
DB_2_F_04_S60_L004,DB,fry,0.914254,db2
DB_2_F_06_S62_L004,DB,fry,0.863302,db2
DB_2_F_10_S65_L004,DB,fry,0.88624,db2
DB_2_F_12_S67_L004,DB,fry,0.897889,db2
DB_2_F_14_S69_L004,DB,fry,0.903416,db2
DB_2_L_01_S57_L004,DB,liver,0.959158,db2
DB_2_L_03_S59_L004,DB,liver,0.945522,db2
DB_2_L_05_S61_L004,DB,liver,0.913233,db2
DB_2_L_07_S63_L004,DB,liver,0.920503,db2
DB_2_L_09_S64_L004,DB,liver,0.875409,db2
DB_2_L_11_S66_L004,DB,liver,0.909929,db2
DB_2_L_13_S68_L004,DB,liver,0.902234,db2
DB_2_L_15_S70_L004,DB,liver,0.914698,db2
DB_3_F_02_S72_L004,DB,fry,0.928604,db3
DB_3_F_04_S74_L004,DB,fry,0.950821,db3
DB_3_F_06_S76_L004,DB,fry,0.899086,db3
DB_3_F_10_S79_L004,DB,fry,0.950171,db3
DB_3_F_12_S81_L004,DB,fry,0.86181,db3
DB_3_F_14_S83_L004,DB,fry,0.932797,db3
DB_3_L_01_S71_L004,DB,liver,0.923151,db3
DB_3_L_03_S73_L004,DB,liver,0.943018,db3
DB_3_L_05_S75_L004,DB,liver,0.92278,db3
DB_3_L_07_S77_L004,DB,liver,0.896594,db3
DB_3_L_09_S78_L004,DB,liver,0.924979,db3
DB_3_L_11_S80_L004,DB,liver,0.913072,db3
DB_3_L_13_S82_L004,DB,liver,0.947949,db3
DB_3_L_15_S84_L004,DB,liver,0.950804,db3
MB_1_F_04_S1_L001,MB,fry,0.899697,mb1
MB_1_F_05_S2_L001,MB,fry,0.835232,mb1
MB_1_F_06_S3_L001,MB,fry,0.907648,mb1
MB_1_F_12_S4_L001,MB,fry,0.918339,mb1
MB_1_F_13_S5_L001,MB,fry,0.931556,mb1
MB_1_F_14_S6_L001,MB,fry,0.92284,mb1
MB_1_L_01_S7_L001,MB,liver,0.943805,mb1
MB_1_L_02_S8_L001,MB,liver,0.931768,mb1
MB_1_L_03_S9_L001,MB,liver,0.915068,mb1
MB_1_L_07_S10_L001,MB,liver,0.913513,mb1
MB_1_L_09_S11_L001,MB,liver,0.909864,mb1
MB_1_L_10_S12_L001,MB,liver,0.919422,mb1
MB_1_L_11_S13_L001,MB,liver,0.937886,mb1
MB_1_L_15_S14_L001,MB,liver,0.950001,mb1
MB_2_F_04_S15_L001,MB,fry,0.914565,mb2
MB_2_F_05_S16_L001,MB,fry,0.947374,mb2
MB_2_F_06_S17_L001,MB,fry,0.930746,mb2
MB_2_F_12_S18_L001,MB,fry,0.917375,mb2
MB_2_F_13_S19_L001,MB,fry,0.928706,mb2
MB_2_F_14_S20_L001,MB,fry,0.923379,mb2
MB_2_L_01_S21_L001,MB,liver,0.932124,mb2
MB_2_L_02_S22_L001,MB,liver,0.930976,mb2
MB_2_L_03_S23_L001,MB,liver,0.945991,mb2
MB_2_L_07_S24_L001,MB,liver,0.929877,mb2
